problem_id,title,slug,topic,subtopic,difficulty,pattern,source_url,time_complexity,space_complexity,visible_test_count,hidden_test_count,hint_count,relationship_count,rag_chunk_count,learning_objectives_count,common_mistakes_count
jump-game-ii,Jump Game II,jump-game-ii,Greedy,BFS-Level Greedy,Medium,BFS-Level Greedy,premium-phase3f-internal,O(n),O(1),5,20,3,2,12,2,3
koko-eating-bananas,Koko Eating Bananas,koko-eating-bananas,Binary Search,Binary Search on Feasibility,Medium,Binary Search on Feasibility,premium-phase3f-internal,O(n log M),O(1),6,20,3,2,14,2,3
kth-largest-element-in-an-array,Kth Largest Element in an Array,kth-largest-element-in-an-array,Heap,Fixed-Size Heap,Medium,Fixed-Size Heap,premium-phase3f-internal,O(n log k),O(k),5,20,3,5,12,2,3
linked-list-cycle,Linked List Cycle,linked-list-cycle,Linked List,Floyd Fast-Slow,Easy,Floyd Fast-Slow,premium-phase3f-internal,O(1),O(1),5,20,3,3,12,2,3
longest-common-subsequence,Longest Common Subsequence,longest-common-subsequence,Dynamic Programming,2D Match/Skip Recurrence,Medium,2D Match/Skip Recurrence,premium-phase3f-internal,O(m*n),O(m*n),5,20,3,6,12,2,3
longest-consecutive-sequence,Longest Consecutive Sequence,longest-consecutive-sequence,Arrays & Hashing,Start-of-Run Detection,Medium,Start-of-Run Detection,premium-phase3f-internal,O(n),O(n),6,20,3,1,14,2,3
longest-increasing-subsequence,Longest Increasing Subsequence,longest-increasing-subsequence,Dynamic Programming,Quadratic DP / Patience Sorting,Medium,Quadratic DP / Patience Sorting,premium-phase3f-internal,O(n log n),O(n),5,20,3,2,12,2,3
longest-repeating-character-replacement,Longest Repeating Character Replacement,longest-repeating-character-replacement,Sliding Window,Max Frequency Window,Medium,Max Frequency Window,premium-phase3f-internal,O(n),O(1),6,20,3,2,14,2,3
longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,Sliding Window,Expand-Contract Window,Medium,Expand-Contract Window,premium-phase3f-internal,O(n),"O(min(n, alphabet))",6,20,3,4,14,2,3
maximum-depth-of-binary-tree,Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,Trees,DFS Height,Easy,DFS Height,premium-phase3f-internal,O(n),O(h),5,20,3,5,12,2,3
merge-intervals,Merge Intervals,merge-intervals,Intervals,Interval Coalescing,Medium,Interval Coalescing,premium-phase3f-internal,O(n log n),O(n),5,20,3,4,12,2,3
merge-k-sorted-lists,Merge K Sorted Lists,merge-k-sorted-lists,Heap,Min-Heap Frontier,Hard,Min-Heap Frontier,premium-phase3f-internal,O(N log k),O(k),5,20,3,6,12,2,3
merge-two-sorted-lists,Merge Two Sorted Lists,merge-two-sorted-lists,Linked List,Dummy Head Merge,Easy,Dummy Head Merge,premium-phase3f-internal,O(n + m),O(1) extra,5,20,3,3,12,2,3
min-stack,Min Stack,min-stack,Stack,State Coupling,Medium,State Coupling,premium-phase3f-internal,"O(n) total, O(1) each operation",O(n),6,20,3,2,14,2,3
minimum-window-substring,Minimum Window Substring,minimum-window-substring,Sliding Window,Need/Have Counter,Hard,Need/Have Counter,premium-phase3f-internal,O(|s| + |t|),O(1),6,20,3,7,14,2,3
network-delay-time,Network Delay Time,network-delay-time,Graphs,Dijkstra with Min Heap,Hard,Dijkstra with Min Heap,premium-phase3f-internal,O((V + E) log V),O(V + E),5,20,3,6,12,2,3
non-overlapping-intervals,Non-overlapping Intervals,non-overlapping-intervals,Intervals,Earliest End Time,Medium,Earliest End Time,premium-phase3f-internal,O(n log n),O(1),5,20,3,1,12,2,3
number-of-1-bits,Number of 1 Bits,number-of-1-bits,Bit Manipulation,Brian Kernighan,Easy,Brian Kernighan,premium-phase3f-internal,O(k),O(1),5,20,3,3,12,2,3
number-of-islands,Number of Islands,number-of-islands,Graphs,Flood Fill DFS/BFS,Medium,Flood Fill DFS/BFS,premium-phase3f-internal,O(rows*cols),O(rows*cols) worst recursion/stack,5,20,3,4,12,2,3
pacific-atlantic-water-flow,Pacific Atlantic Water Flow,pacific-atlantic-water-flow,Graphs,Multi-Source DFS/BFS,Hard,Multi-Source DFS/BFS,premium-phase3f-internal,O(rows*cols),O(rows*cols),5,20,3,3,12,2,3
partition-equal-subset-sum,Partition Equal Subset Sum,partition-equal-subset-sum,Dynamic Programming,Boolean Knapsack DP,Medium,Boolean Knapsack DP,premium-phase3f-internal,O(n * target),O(target),5,20,3,2,12,2,3
permutation-in-string,Permutation in String,permutation-in-string,Sliding Window,Frequency Delta Tracking,Medium,Frequency Delta Tracking,premium-phase3f-internal,O(n),O(1),6,20,3,5,14,2,3
permutations,Permutations,permutations,Backtracking,Visited Set DFS,Medium,Visited Set DFS,premium-phase3f-internal,O(n * n!),O(n),5,20,3,3,12,2,3
plus-one,Plus One,plus-one,Math,Carry Propagation,Easy,Carry Propagation,premium-phase3f-internal,O(n),O(1) extra,5,20,3,1,12,2,3
powx-n,"Pow(x, n)",pow-x-n,Math,Fast Power,Medium,Fast Power,premium-phase3f-internal,O(log |n|),O(1),5,20,3,3,12,2,3
product-of-array-except-self,Product of Array Except Self,product-of-array-except-self,Arrays & Hashing,Two Pass Prefix-Suffix,Medium,Two Pass Prefix-Suffix,premium-phase3f-internal,O(n),O(1) extra (excluding output),6,20,3,1,14,2,3
remove-nth-node-from-end-of-list,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,Linked List,Two Pointer Offset,Medium,Two Pointer Offset,premium-phase3f-internal,O(n),O(1) extra,5,20,3,2,12,2,3
reorder-list,Reorder List,reorder-list,Linked List,Fast-Slow + Interleave,Medium,Fast-Slow + Interleave,premium-phase3f-internal,O(n),O(n),5,20,3,5,12,2,3
reverse-linked-list,Reverse Linked List,reverse-linked-list,Linked List,Iterative Reversal,Easy,Iterative Reversal,premium-phase3f-internal,O(n),O(1) extra,5,20,3,4,12,2,3
rotate-image,Rotate Image,rotate-image,Math,Transpose + Reverse,Medium,Transpose + Reverse,premium-phase3f-internal,O(n^2),O(n^2),5,20,3,4,12,2,3
same-tree,Same Tree,same-tree,Trees,Paired DFS,Easy,Paired DFS,premium-phase3f-internal,O(n),O(h),5,20,3,2,12,2,3
search-a-2d-matrix,Search a 2D Matrix,search-a-2d-matrix,Binary Search,Flattened Binary Search,Medium,Flattened Binary Search,premium-phase3f-internal,O(log(m*n)),O(1),6,20,3,2,14,2,3
search-in-rotated-sorted-array,Search in Rotated Sorted Array,search-in-rotated-sorted-array,Binary Search,Rotated Binary Search,Medium,Rotated Binary Search,premium-phase3f-internal,O(log n),O(1),5,20,3,5,12,2,3
single-number,Single Number,single-number,Bit Manipulation,Pair Cancellation,Easy,Pair Cancellation,premium-phase3f-internal,O(n),O(1),5,20,3,2,12,2,3
sliding-window-maximum,Sliding Window Maximum,sliding-window-maximum,Sliding Window,Deque Optimization,Hard,Deque Optimization,premium-phase3f-internal,O(n),O(k),6,20,3,5,14,2,3
subsets,Subsets,subsets,Backtracking,Include/Exclude DFS,Medium,Include/Exclude DFS,premium-phase3f-internal,O(n * 2^n),O(n * 2^n),5,20,3,4,12,2,3
subtree-of-another-tree,Subtree of Another Tree,subtree-of-another-tree,Trees,DFS + Equality Check,Medium,DFS + Equality Check,premium-phase3f-internal,O(n * m),O(h),5,20,3,4,12,2,3
task-scheduler,Task Scheduler,task-scheduler,Heap,Frequency Max-Heap,Medium,Frequency Max-Heap,premium-phase3f-internal,O(m),O(1),5,20,3,3,12,2,3
top-k-frequent-elements,Top K Frequent Elements,top-k-frequent-elements,Arrays & Hashing,Bucket / Heap Hybrid,Medium,Bucket / Heap Hybrid,premium-phase3f-internal,O(n log k),O(n),6,20,3,2,14,2,3
trapping-rain-water,Trapping Rain Water,trapping-rain-water,Two Pointers,Two Pointer with Running Max,Hard,Two Pointer with Running Max,premium-phase3f-internal,O(n),O(1),6,20,3,5,14,2,3
two-sum,Two Sum,two-sum,Arrays & Hashing,Complement Lookup,Easy,Complement Lookup,premium-phase3f-internal,O(n),O(n),6,20,3,3,14,2,3
two-sum-ii-input-array-is-sorted,Two Sum II - Input Array Is Sorted,two-sum-ii-input-array-is-sorted,Two Pointers,Opposite-End Pointer Movement,Easy,Opposite-End Pointer Movement,premium-phase3f-internal,O(n),O(1),6,20,3,5,14,2,3
unique-paths,Unique Paths,unique-paths,Dynamic Programming,2D Tabulation,Medium,2D Tabulation,premium-phase3f-internal,O(m*n),O(n),5,20,3,2,12,2,3
valid-anagram,Valid Anagram,valid-anagram,Arrays & Hashing,Character Histogram,Easy,Character Histogram,premium-phase3f-internal,O(n),O(1),6,20,3,4,14,2,3
valid-palindrome,Valid Palindrome,valid-palindrome,Two Pointers,Bidirectional Scan,Easy,Bidirectional Scan,premium-phase3f-internal,O(n),O(1),6,20,3,2,14,2,3
valid-parentheses,Valid Parentheses,valid-parentheses,Stack,Push-Pop Validation,Easy,Push-Pop Validation,premium-phase3f-internal,O(n),O(n),6,20,3,2,14,2,3
word-search,Word Search,word-search,Backtracking,Path Constraint Backtracking,Medium,Path Constraint Backtracking,premium-phase3f-internal,O(rows*cols*4^L),O(L),5,20,3,3,12,2,3
